,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,touros,0,BR,1570050519,61,-5.2,-35.46,27.0,5.1
388,ugoofaaru,100,MV,1570050207,75,5.67,73.0,28.17,4.28
389,surat thani,20,IN,1570050520,94,21.19,72.81,27.0,4.33
390,banfora,4,BF,1570050520,81,10.64,-4.75,24.97,1.1
391,ponnani,75,IN,1570050520,83,10.77,75.93,26.0,1.5
392,kawalu,92,ID,1570050181,91,-7.38,108.21,20.29,1.17
393,aksu,0,KZ,1570050521,92,52.04,76.93,-1.0,1.0
394,kokstad,0,ZA,1570050521,51,-30.55,29.42,10.65,2.07
395,beringovskiy,100,RU,1570049972,75,63.05,179.32,0.64,1.17
396,saint-michel-des-saints,17,CA,1570050194,6,46.68,-73.92,8.89,0.45
397,tarakan,12,ID,1570050521,87,3.3,117.63,24.51,2.36
398,fairlie,1,US,1570050521,36,33.31,-95.96,35.56,2.1
399,half moon bay,75,LR,1570050522,94,6.38,-10.7,25.0,3.31
400,shenjiamen,0,CN,1570050069,82,29.96,122.3,23.62,0.56
401,celestun,0,MX,1570050231,80,20.87,-90.4,27.76,7.71
402,ritchie,0,ZA,1570050522,25,-29.03,24.6,19.0,4.1
403,pisco,0,PE,1570050522,30,-13.71,-76.2,22.0,5.1
404,farafangana,100,MG,1570050523,96,-22.82,47.83,21.1,1.64
405,kruisfontein,100,ZA,1570050523,38,-34.0,24.73,18.67,2.43
406,praia,0,BR,1570050523,27,-20.25,-43.81,31.0,6.2
407,plouzane,0,FR,1570050523,93,48.38,-4.62,11.11,2.1
408,bur gabo,0,FI,1570050070,64,63.56,22.87,5.56,4.1
409,bridgetown,100,AU,1570050524,90,-33.96,116.14,13.33,0.45
410,bandarbeyla,25,SO,1570050524,77,9.49,50.81,24.58,2.08
411,santa cruz,82,PH,1570050524,74,17.49,120.43,28.39,3.21
412,sechura,35,PE,1570050524,88,-5.56,-80.82,17.9,7.68
413,verkhnevilyuysk,74,RU,1570050524,92,63.45,120.31,-5.42,1.64
414,ushtobe,0,KZ,1570050525,37,45.25,77.98,8.27,4.49
415,rawson,33,AR,1570049994,20,-43.3,-65.11,13.14,4.07
416,martil,100,MA,1570050525,72,35.62,-5.28,24.0,8.2
417,marrakesh,0,MA,1570050525,50,31.63,-7.99,25.0,5.1
418,meulaboh,100,ID,1570050032,80,4.14,96.13,25.93,2.06
419,imbituba,0,BR,1570050526,73,-28.24,-48.67,24.0,6.2
420,srednekolymsk,100,RU,1570050526,91,67.46,153.71,-3.47,8.55
421,gallup,1,US,1570050326,17,35.53,-108.74,22.0,4.6
422,montero,75,BO,1570050526,60,-17.34,-63.26,24.0,6.7
423,suwannaphum,100,TH,1570050527,83,15.61,103.81,25.56,0.97
424,hambantota,0,LK,1570050527,78,6.12,81.12,27.31,3.0
425,amapa,40,HN,1570049990,55,15.09,-87.97,33.0,3.6
426,shingu,33,JP,1570050527,95,33.72,135.99,16.95,3.45
427,kuzedeyevo,0,RU,1570050527,75,53.33,87.2,-1.0,0.98
428,hudson bay,90,US,1570050528,100,42.39,-71.57,17.78,2.6
429,hovd,75,NO,1570050015,87,63.83,10.7,10.0,1.5
430,vostok,92,RU,1570050528,91,46.45,135.83,14.82,1.57
431,loei,0,TH,1570050528,87,17.49,101.72,20.82,0.63
432,puerto narino,75,AR,1570050234,57,-51.62,-69.23,11.0,10.8
433,lagoa,0,PT,1570050528,64,37.14,-8.45,20.0,5.7
434,takoradi,100,GH,1570050235,94,4.89,-1.75,23.38,1.17
435,tagusao,78,PH,1570050223,76,9.19,117.81,26.55,1.74
436,colares,0,PT,1570050529,67,38.8,-9.45,18.33,4.6
437,doische,20,BE,1570050529,87,50.14,4.75,8.33,3.1
438,astoria,40,US,1570050529,44,46.19,-123.83,16.11,3.1
439,viedma,0,AR,1570050530,27,-40.81,-62.99,12.12,2.66
440,tiarei,20,PF,1570050179,65,-17.53,-149.33,27.0,2.1
441,vylkove,3,UA,1570050231,87,45.4,29.58,16.35,3.75
442,santa isabel do rio negro,82,PH,1570050524,74,17.49,120.43,28.39,3.21
443,nome,75,US,1570050530,49,30.04,-94.42,34.0,3.6
444,esmeraldas,0,BR,1570050530,27,-19.76,-44.31,31.0,6.2
445,sao filipe,31,IN,1570050531,97,20.51,76.21,21.83,2.54
446,kuala terengganu,99,ID,1570050531,71,3.38,98.62,26.67,0.97
447,parfenyevo,100,RU,1570050531,88,58.48,43.41,9.21,4.61
448,flinders,0,AU,1570050531,58,-34.58,150.85,17.78,2.6
449,gondar,0,PT,1570050532,87,41.82,-8.78,16.11,1.5
450,nizhniy kuranakh,0,RU,1570050532,67,45.39,39.24,18.33,5.0
451,haljala,100,EE,1570050532,75,59.43,26.27,7.12,2.36
452,nizwa,87,OM,1570050533,47,22.93,57.53,26.07,0.57
453,ladario,94,PT,1570050533,85,40.7,-7.74,16.67,0.45
454,huarmey,23,PE,1570050533,90,-10.07,-78.15,16.58,8.04
455,caravelas,0,BR,1570050533,74,-17.73,-39.27,22.5,3.34
456,arman,100,RU,1570050533,83,59.7,150.17,-3.78,2.4
457,eureka,40,US,1570049963,51,40.8,-124.16,20.0,4.6
458,basco,90,US,1570050534,83,40.33,-91.2,30.0,2.1
459,kaeo,80,NZ,1570050205,89,-35.1,173.78,13.89,3.64
460,sortavala,72,RU,1570050534,90,61.7,30.69,1.02,2.26
461,ambilobe,51,MG,1570050534,68,-13.19,49.05,24.21,3.05
462,nguruka,50,TZ,1570050061,68,-5.11,31.04,23.38,1.95
463,adjumani,100,UG,1570050535,94,3.38,31.79,20.86,0.97
464,skelleftea,24,SE,1570050535,93,64.75,20.95,3.33,5.1
465,iberia,62,PE,1570050535,39,-11.41,-69.49,33.05,1.39
466,pemberton,100,AU,1570050535,97,-34.44,116.03,13.33,0.88
467,faranah,100,GN,1570050535,95,10.04,-10.74,21.7,1.07
468,sibolga,73,ID,1570050165,78,1.74,98.78,26.64,5.02
469,belaya gora,77,RU,1570050179,63,51.06,35.71,12.16,4.64
470,malazgirt,0,TR,1570050536,29,39.15,42.54,10.16,0.18
471,yatou,75,CM,1570050037,100,3.63,9.81,25.0,1.0
472,biak,7,ID,1570050536,96,-0.91,122.88,15.66,1.36
473,olavarria,0,AR,1570050536,37,-36.89,-60.32,15.56,0.45
474,malindi,90,KE,1570050537,91,-3.22,40.12,23.12,2.07
475,patu,27,BR,1570050537,53,-6.1,-37.64,27.82,5.69
476,kautokeino,72,NO,1570050537,90,69.01,23.04,-2.05,4.19
477,mount gambier,0,GB,1570050537,81,53.66,-1.85,8.33,3.1
478,corowa,0,AU,1570050379,100,-36.0,146.39,12.22,1.0
479,teguldet,100,RU,1570050223,86,57.31,88.17,4.4,4.27
480,dayong,20,CN,1570050026,94,25.02,118.29,26.0,2.0
481,cubuk,0,TR,1570050538,36,40.24,33.03,20.56,1.0
482,teknaf,14,BD,1570050538,82,20.86,92.31,27.29,6.13
483,oussouye,90,SN,1570050538,94,12.49,-16.54,28.0,7.2
484,aden,0,YE,1570050539,67,12.79,45.03,29.74,5.79
485,fort-shevchenko,0,KZ,1570050539,85,44.51,50.26,18.23,2.06
486,atasu,0,KZ,1570050540,35,48.68,71.64,4.38,2.69
487,amahai,67,ID,1570050540,87,-3.31,129.0,24.76,2.82
488,pavlodar,0,KZ,1570050540,92,52.28,76.96,-1.0,1.0
489,mikhaylov,99,RU,1570050540,69,54.23,39.03,12.78,1.79
490,kalya,75,IN,1570050541,100,12.98,77.18,23.0,1.0
491,kasongo-lunda,100,CD,1570050541,94,-6.48,16.82,20.12,0.62
492,kalmunai,69,LK,1570050222,87,7.42,81.82,23.84,1.32
493,cristalina,22,BR,1570050541,19,-16.77,-47.61,30.85,3.22
494,solnechnyy,100,RU,1570050020,90,50.72,136.64,1.28,1.9
495,bubaque,100,GW,1570050542,83,11.28,-15.83,27.31,4.64
496,plettenberg bay,47,DE,1570050179,87,51.21,7.87,10.56,4.1
497,caxito,0,BR,1570050542,64,-22.65,-42.51,24.0,8.2
498,stjordalshalsen,90,NO,1570050542,93,63.47,10.93,7.78,3.1
499,muros,0,ES,1570050542,93,42.77,-9.06,16.11,3.23
500,rameswaram,0,IN,1570050543,76,9.28,79.3,28.27,6.48
501,san fernando,35,ML,1570050510,60,13.3,-4.9,27.65,3.55
502,puerto cabezas,75,AR,1570050543,57,-51.62,-69.23,11.0,10.8
503,borogontsy,78,RU,1570049803,75,62.67,131.17,-4.76,2.63
504,lara,40,PE,1570050543,42,-16.45,-71.53,18.0,5.7
505,sorong,100,ID,1570050145,93,-0.86,131.25,22.96,0.77
506,saint-georges,85,CA,1570050544,58,46.12,-70.67,7.22,0.45
507,maroantsetra,66,MG,1570050544,98,-15.43,49.74,18.61,0.64
508,husavik,31,CA,1570050544,75,50.56,-96.99,6.67,3.04
509,oudtshoorn,100,ZA,1570050544,63,-33.59,22.2,17.0,4.1
510,saga,75,JP,1570050545,78,33.26,130.3,26.0,4.6
511,tadine,100,NC,1570050025,73,-21.55,167.88,20.0,9.92
512,manicore,20,BR,1570050185,66,-5.81,-61.3,32.0,3.6
513,sabang,63,PH,1570050545,90,13.8,121.11,22.78,1.13
514,albury,40,AU,1570050344,87,-36.08,146.92,12.22,5.0
515,gubkinskiy,100,RU,1570050545,93,64.43,76.5,7.76,8.33
516,itoman,40,JP,1570050546,83,26.12,127.67,27.0,2.1
517,dhidhdhoo,89,MV,1570050546,69,6.88,73.1,27.92,1.23
518,bonavista,25,CA,1570050546,87,48.65,-53.11,5.56,1.79
519,kosh-agach,0,RU,1570050546,48,49.99,88.66,-5.79,0.18
520,abu zabad,96,JP,1570050547,81,34.51,131.49,25.19,11.52
521,nambour,0,AU,1570050547,95,-26.63,152.96,15.0,0.66
522,palana,94,RU,1570050208,88,59.08,159.95,4.58,3.36
523,barth,75,DE,1570050547,93,54.37,12.73,9.44,3.6
524,sinazongwe,0,ZM,1570049970,69,-17.26,27.46,21.7,3.82
525,binga,0,ZW,1570050548,69,-17.62,27.34,21.7,3.82
526,kuandian,0,CN,1570050548,72,40.73,124.78,12.7,2.94
527,coria,55,ES,1570050239,67,39.98,-6.54,13.89,1.83
528,kaduqli,61,SD,1570050548,74,11.01,29.72,24.82,1.35
529,armacao dos buzios,0,BR,1570050548,73,-27.75,-48.51,24.0,6.2
530,jasper,75,US,1570050189,30,33.83,-87.28,37.22,3.6
531,fairbanks,90,US,1570050549,100,64.84,-147.72,2.22,4.1
532,boali,20,CF,1570050549,100,4.81,18.11,23.0,0.87
533,zeya,0,RU,1570050549,66,53.74,127.27,-3.82,2.6
534,tura,100,RU,1570050549,98,64.27,100.22,0.53,2.41
535,durban,94,CA,1570050550,67,51.93,-101.44,6.62,1.21
